DistName,FnName,FnNameR,xLow,xHigh,Parameters,RParameter,paramLimit,paramLogic,Rsupport
Beta,dbeta,dbeta,0,1,a,shape1,> 0,a > 0,TRUE
Beta,dbeta,dbeta,0,1,b,shape2,> 0,b > 0,TRUE
Chi-square,dchisqr,dchisq,0,,k,df,> 0,k > 0,TRUE
Double exponential,ddexp,,,,,mu,,is.numeric(mu),FALSE
Double exponential,ddexp,,,,,tau,> 0,tau > 0,FALSE
Exponential,dexp,dexp,0,,lambda,rate,> 0,lambda > 0,TRUE
F,df,df,0,,n,df1,> 0,n > 0,TRUE
F,df,df,0,,mu,df2,> 0,mu > 0,TRUE
Gamma,dgamma,dgamma,0,,r,shape,> 0 ,r > 0,TRUE
Gamma,dgamma,dgamma,0,,lambda,rate,> 0,lambda > 0,TRUE
Generalized gamma,dgen.gamma,,0,,r,,> 0,r > 0,FALSE
Generalized gamma,dgen.gamma,,0,,b,,> 0,b > 0,FALSE
Generalized gamma,dgen.gamma,,0,,lambda,,> 0,lambda > 0,FALSE
Logistic,dlogis,dlogis,,,mu,location,,is.numeric(mu),TRUE
Logistic,dlogis,dlogis,,,tau,scale,> 0,tau > 0,TRUE
Log-normal,dlnorm,dlnorm,0,,mu,meanlog,,is.numeric(mu),TRUE
Log-normal,dlnorm,dlnorm,0,,tau,sdlog,> 0,tau > 0,TRUE
Noncentral chi-square,dnchisqr,,0,,k,,> 0,k > 0,FALSE
Noncentral chi-square,dnchisqr,,0,,delta,,>= 0,delta >= 0,FALSE
Normal,dnorm,dnorm,,,mu,mean,,is.numeric(mu),TRUE
Normal,dnorm,dnorm,,,tau,sd,>= 0,tau >= 0,TRUE
Pareto,dpar,,c,,alpha,,> 0,alpha > 0,FALSE
Pareto,dpar,,c,,alpha,,> c,alpha > 0,FALSE
Student t,dt,dt,,,mu,mean,,is.numeric(mu),FALSE
Student t,dt,dt,,,tau,sd,> 0,tau > 0,FALSE
Student t,dt,dt,,,k,df,> 0,k > 0,TRUE
Uniform,dunif,dunif,a,b,a,min,< b,a < b,TRUE
Uniform,dunif,dunif,a,b,b,max,> a,b > a,TRUE
Weibull,dweib,dweib,0,,nu,shape,> 0,nu > 0,TRUE
Weibull,dweib,dweib,0,,lambda,scale,> 0,lambda > 0,TRUE
Beta Binomial,dbetabin,,0,n,,a,> 0,a > 0,TRUE
Beta Binomial,dbetabin,,0,n,,b,> 0,b > 0,TRUE
Beta Binomial,dbetabin,,0,n,,n,> 0,n > 0,TRUE
Bernoulli,dbern,,0,1,p,prob,0 < p < 1,0 < p & p < 1,FALSE
Binomial,dbin,dbin,0,n,p,prob,0 < p < 1,0 < p & p < 1,TRUE
Binomial,dbin,dbin,0,n,n,size,> 0,n > 0,TRUE
Categorical,dcat,,,,pi,pi,> 0,pi > 0,FALSE
Noncentral hypergeometric,dhyper,dhyper,"max(0, (n1 + n2) - m1)","min(n1, m1)",n1,,> 0,n1 > 0,FALSE
Noncentral hypergeometric,dhyper,dhyper,"max(0, (n1 + n2) - m1)","min(n1, m1)",n2,,> 0,n2 > 0,FALSE
Noncentral hypergeometric,dhyper,dhyper,"max(0, (n1 + n2) - m1)","min(n1, m1)",m1,,0 < m1 < (n1 + n2),0 < m1 & m1 < (n1 + n2),FALSE
Noncentral hypergeometric,dhyper,dhyper,"max(0, (n1 + n2) - m1)","min(n1, m1)",psi,,,is.numeric(psi),FALSE
Negative Binomial,dnegbin,,0,,p,,0 < p < 1,0 < p & p < 1,FALSE
Negative Binomial,dnegbin,,0,,r,,> 0,r > 0,FALSE
Poisson,dpois,dpois,0,,lambda,lambda,> 0,lambda > 0,TRUE
Deterministic,determ,,,,define,define,,plyr::is.formula(define),FALSE
